aX,aY,aZ
0.135,1.004,0.482
0.121,1.077,0.479
0.111,1.043,0.48
0.09,1.025,0.479
0.081,0.994,0.476
0.059,0.978,0.486
0.047,0.946,0.506
0.023,0.954,0.527
0.014,0.9,0.522
-0.004,0.852,0.567
-0.012,0.861,0.604
-0.02,0.862,0.605
-0.042,0.864,0.609
-0.049,0.851,0.651
-0.049,0.854,0.652
-0.041,0.78,0.679
-0.032,0.731,0.706
-0.021,0.761,0.72
0.001,0.761,0.714
0.071,-1.441,0.525
0.054,-1.566,0.542
0.036,-1.68,0.529
0.024,-1.722,0.543
0.012,-1.882,0.627
-0.015,-1.966,0.667
-0.049,-2.102,0.759
-0.067,-2.155,0.841
-0.132,-2.22,0.891
-0.17,-2.279,1.007
-0.24,-2.305,1.044
-0.293,-2.318,1.102
-0.46,-2.231,1.289
-0.432,-2.199,1.392
-0.486,-2.067,1.486
-0.531,-2.003,1.507
-0.572,-1.911,1.516
-0.529,-1.876,1.499
-0.44,-1.837,1.492
-0.395,-1.747,1.523
-0.334,-1.673,1.428
-0.189,-1.766,1.561
-0.218,-1.614,1.239
-0.2,-1.399,1.167
-0.157,-1.296,0.895
-0.209,-1.289,0.946
0.001,-1.359,1.072
0.033,-1.169,0.948
0.058,-1.141,0.839
0.081,-1.047,0.741
0.128,-1.004,0.732
0.149,-0.936,0.726
0.195,-0.902,0.718
0.209,-0.825,0.69
0.238,-0.789,0.686
0.263,-0.71,0.695
0.28,-0.672,0.722
0.306,-0.598,0.733
0.313,-0.522,0.731
0.32,-0.491,0.727
0.331,-0.44,0.715
0.338,-0.385,0.711
0.335,-0.358,0.704
0.33,-0.299,0.696
0.322,-0.27,0.696
0.316,-0.208,0.702
0.312,-0.175,0.709
0.297,-0.118,0.701
0.291,-0.09,0.692
0.249,-0.046,0.684
0.214,0.113,0.612
0.17,0.062,0.61
0.136,0.114,0.501
0.102,0.151,0.498
0.062,0.358,0.474
-0.046,0.314,0.404
-0.097,0.311,0.301
-0.154,0.309,0.271
-0.166,0.364,0.253
-0.203,0.419,0.248
-0.249,0.532,0.244
-0.283,0.591,0.229
-0.333,0.687,0.221
-0.343,0.852,0.238
-0.341,0.803,0.269
-0.339,0.886,0.326
-0.33,0.933,0.362
-0.331,1.05,0.417
-0.346,1.13,0.467
-0.359,1.281,0.49
-0.351,1.352,0.524
-0.325,1.498,0.529
-0.309,1.575,0.534
-0.285,1.757,0.529
-0.276,1.979,0.498
-0.244,2.048,0.474
-0.228,2.228,0.406
-0.188,2.299,0.366
-0.152,2.401,0.317
-0.053,2.434,0.304
0.017,2.478,0.267
0.184,2.485,0.247
0.277,2.476,0.208
0.457,2.46,0.177
0.619,2.414,0.169
0.689,2.389,0.163
0.822,2.334,0.173
0.884,2.297,0.201
0.982,2.23,0.229
1.017,2.208,0.285
1.082,2.172,0.313
1.102,2.131,0.372
1.125,2.107,0.405
1.137,2.065,0.449
1.151,2.041,0.469
1.151,1.981,0.518
1.122,1.955,0.541
1.1,1.921,0.575
1.064,1.888,0.575
1.036,1.768,0.562
0.954,1.742,0.575
0.952,1.781,0.493
0.922,1.615,0.572
0.851,1.484,0.564
0.858,1.469,0.553
0.801,1.406,0.527
0.766,1.369,0.498
0.742,1.264,0.479
0.735,1.224,0.464
0.7,1.164,0.464
0.673,1.151,0.457
0.633,1.129,0.462
0.625,1.114,0.476
0.612,1.085,0.473
0.614,1.077,0.488
0.61,1.071,0.501
0.601,1.074,0.517
0.574,1.08,0.53
0.561,1.078,0.549
0.531,1.077,0.573
0.522,1.071,0.586
0.501,1.059,0.594
0.495,1.055,0.61
0.488,1.045,0.617
0.483,1.028,0.627
0.468,1.004,0.629
0.467,0.996,0.627
0.466,0.981,0.627
0.464,0.973,0.627
0.468,0.978,0.624
0.468,0.962,0.622
0.485,0.939,0.641
0.493,0.935,0.644
0.507,0.915,0.661
0.5,0.915,0.637
0.505,0.871,0.619
0.513,0.875,0.677
0.519,0.924,0.696
0.508,0.932,0.689
0.494,0.897,0.695
0.487,0.846,0.723
0.489,0.843,0.734
0.491,0.854,0.752
0.48,0.859,0.763
0.47,0.86,0.779
0.457,0.854,0.782
0.449,0.84,0.787
0.443,0.83,0.789
0.44,0.819,0.787
