aX,aY,aZ
-0.096,-0.42,-1.546
-0.104,-0.408,-1.57
-0.086,-0.408,-1.596
-0.042,-0.398,-1.598
-0.039,-0.358,-1.599
-0.048,-0.328,-1.602
-0.065,-0.319,-1.6
-0.044,-0.349,-1.568
-0.034,-0.362,-1.534
-0.04,-0.338,-1.53
-0.042,-0.338,-1.513
0.128,-0.5,-1.446
0.142,-0.157,-1.041
-0.19,-0.311,-1.469
-0.051,-0.294,-1.365
0.047,-0.307,-1.33
0.058,-0.299,-1.272
0.011,-0.239,-1.297
0.016,-0.182,-1.322
0.033,-0.18,-1.312
0.055,-0.117,-1.239
0.011,-0.115,-1.32
0.042,-0.115,-1.308
0.05,-0.114,-1.334
0.073,-0.135,-1.369
0.086,-0.073,-1.365
0.081,-0.071,-1.424
0.084,-0.034,-1.593
0.073,-0.035,-1.435
0.289,0.03,-0.468
-0.033,0.117,-1.582
-0.037,-0.2,-1.445
0.051,-0.177,-1.298
0.11,-0.158,-1.227
0.061,-0.15,-1.283
0.074,-0.103,-1.235
0.059,-0.098,-1.277
0.059,-0.046,-1.342
0.001,-0.072,-1.322
0.045,-0.056,-1.185
0.024,-0.018,-1.216
0.026,-0.012,-1.198
0.042,0.016,-1.182
0.045,0.023,-1.16
0.053,0.022,-1.143
0.056,0.037,-1.116
0.05,0.054,-1.106
0.043,0.095,-1.075
0.035,0.116,-1.059
0.031,0.139,-1.032
0.035,0.143,-1.018
0.036,0.138,-0.997
0.031,0.139,-0.987
0.026,0.141,-0.97
0.019,0.143,-0.959
0.011,0.159,-0.931
-0.002,0.165,-0.92
-0.003,0.142,-0.936
-0.003,0.131,-0.973
0.098,0.06,-0.912
0.024,0.243,-0.997
-0.128,0.305,-1.016
-0.115,0.264,-0.813
0.05,0.17,-0.774
-0.017,0.336,-0.908
-0.047,0.324,-0.902
0.01,0.392,-0.913
0.049,0.43,-0.944
0.064,0.478,-0.953
0.099,0.467,-0.97
0.109,0.476,-0.969
0.114,0.388,-0.816
0.12,0.352,-0.807
0.023,0.109,-0.553
0.101,0.408,-0.457
-0.113,0.624,-0.968
-0.022,0.334,-0.877
0.06,0.417,-0.79
0.181,0.378,-0.695
0.139,0.333,-0.748
0.049,0.38,-0.795
0.051,0.366,-0.677
-0.007,0.393,-0.693
-0.017,0.256,-0.6
-0.049,0.385,-0.634
-0.051,0.388,-0.622
-0.028,0.401,-0.602
-0.016,0.408,-0.554
-0.018,0.414,-0.547
-0.039,0.427,-0.492
-0.062,0.455,-0.515
-0.07,0.479,-0.504
-0.058,0.49,-0.497
-0.025,0.451,-0.465
-0.017,0.482,-0.437
-0.066,0.516,-0.474
-0.076,0.561,-0.468
-0.081,0.579,-0.484
-0.072,0.568,-0.47
-0.084,0.573,-0.483
-0.085,0.549,-0.489
-0.083,0.566,-0.471
-0.094,0.569,-0.481
-0.092,0.542,-0.466
-0.078,0.555,-0.442
-0.108,0.573,-0.415
-0.108,0.579,-0.414
-0.103,0.561,-0.4
-0.108,0.553,-0.366
-0.124,0.539,-0.342
-0.131,0.502,-0.311
-0.14,0.492,-0.264
-0.147,0.49,-0.233
-0.179,0.504,-0.224
-0.195,0.512,-0.208
-0.21,0.503,-0.152
-0.725,0.631,0.71
-0.712,0.614,0.737
-0.704,0.651,0.885
-0.7,0.655,0.933
-0.684,0.681,1.003
-0.661,0.675,1.057
-0.594,0.681,1.091
-0.59,0.695,1.141
-0.531,0.691,1.187
-0.489,0.671,1.301
-0.431,0.639,1.346
-0.412,0.633,1.399
-0.365,0.626,1.429
-0.31,0.641,1.519
-0.252,0.625,1.551
-0.227,0.644,1.636
-0.172,0.658,1.673
-0.164,0.678,1.713
-0.071,0.695,1.767
-0.059,0.732,1.779
-0.054,0.728,1.757
-0.03,0.761,1.76
0.003,0.763,1.742
0.008,0.771,1.656
0.055,0.803,1.513
0.081,0.811,1.559
0.097,0.803,1.492
0.115,0.799,1.394
0.139,0.8,1.345
0.147,0.786,1.236
0.165,0.771,1.184
0.177,0.74,1.087
0.177,0.736,0.917
0.176,0.724,0.95
0.19,0.728,0.878
0.208,0.738,0.848
0.203,0.736,0.771
0.208,0.751,0.746
0.212,0.754,0.698
0.215,0.767,0.676
0.217,0.774,0.636
0.217,0.782,0.618
0.217,0.783,0.588
0.211,0.778,0.571
0.204,0.78,0.546
0.193,0.784,0.53
0.191,0.787,0.507
0.179,0.793,0.499
0.169,0.8,0.486
0.145,0.82,0.482
0.133,0.831,0.487
0.114,0.85,0.494
0.104,0.857,0.522
0.086,0.871,0.543
0.075,0.874,0.587
0.058,0.895,0.611
0.053,0.912,0.659
0.045,0.943,0.681
0.042,0.957,0.726
0.039,0.98,0.744
0.039,0.991,0.78
0.037,1.012,0.794
0.035,1.022,0.822
0.029,1.029,0.834
0.026,1.029,0.852
0.019,1.02,0.861
0.011,1.017,0.853
-0.123,1.012,0.849
-0.012,1.009,0.841
-0.032,0.999,0.834
-0.046,0.993,0.813
-0.073,0.975,0.799
-0.084,0.968,0.773
-0.1,0.964,0.759
-0.108,0.964,0.727
-0.123,0.968,0.707
-0.129,0.968,0.676
-0.139,0.966,0.663
-0.143,0.966,0.632
-0.15,0.959,0.63
-0.151,0.958,0.609
-0.149,0.953,0.608
-0.145,0.951,0.61
-0.135,0.944,0.611
-0.13,0.934,0.611
-0.122,0.924,0.612
-0.12,0.894,0.611
-0.114,0.882,0.606
-0.108,0.863,0.6
-0.094,0.854,0.578
-0.079,0.834,0.563
-0.073,0.822,0.526
-0.061,0.795,0.508
-0.063,0.783,0.46
-0.075,0.759,0.423
-0.074,0.754,0.366
-0.072,0.744,0.337
-0.073,0.745,0.267
-0.079,0.754,0.232
-0.079,0.757,0.173
-0.079,0.754,0.143
-0.083,0.752,0.09
-0.095,0.742,0.068
-0.102,0.734,0.018
-0.116,0.704,0.003
-0.121,0.65,-0.019
-0.14,0.624,-0.027
-0.15,0.585,-0.046
-0.166,0.572,-0.053
-0.167,0.552,-0.064
-0.16,0.55,-0.085
-0.141,0.551,-0.093
-0.126,0.549,-0.108
-0.111,0.544,-0.126
-0.105,0.539,-0.15
-0.09,0.52,-0.171
-0.086,0.495,-0.196
-0.076,0.488,-0.211
-0.079,0.489,-0.269
-0.405,-0.821,-0.914
-0.451,-0.941,-0.876
-0.478,-1.052,-0.863
-0.485,-1.072,-0.865
-0.477,-1.085,-0.877
-0.465,-1.074,-0.91
-0.424,-1.068,-0.929
-0.393,-1.048,-0.971
-0.315,-1.034,-1.035
-0.205,-1.011,-1.066
-0.147,-0.899,-1.17
-0.108,-0.873,-1.222
0.006,-0.823,-1.056
-0.043,-0.792,-1.464
0.07,-0.848,-1.522
0.177,-0.81,-1.494
0.196,-0.772,-1.67
0.206,-0.713,-1.578
0.233,-0.687,-1.634
0.201,-0.659,-1.745
0.161,-0.612,-1.766
0.14,-0.627,-1.779
0.15,-0.638,-1.744
0.078,-0.631,-1.72
0.041,-0.684,-1.66
-0.017,-0.716,-1.619
-0.065,-0.785,-1.533
-0.092,-0.816,-1.445
-0.146,-0.883,-1.397
-0.17,-0.943,-1.296
-0.205,-0.972,-1.203
-0.227,-1.021,-1.154
-0.234,-1.038,-1.075
-0.242,-1.046,-1.042
-0.249,-1.015,-0.997
